"","ID_biorollo","Especie","Tratamiento","Dias_desde_armado","Raices_debajo","Raiz_mas_larga","N_hojas_verdes"
"1",1,"Junco","Con remojo",0,0,0,14
"2",2,"Pehuajó","Con remojo",0,0,0,7
"3",3,"Totora","Con remojo",0,0,0,7
"4",4,"Junco","Con remojo",0,0,0,11
"5",6,"Totora","Con remojo",0,0,0,6
"6",7,"Pehuajó","Con remojo",0,0,0,5
"7",9,"Pehuajó","Con remojo",0,0,0,5
"8",10,"Totora","Con remojo",0,0,0,4
"9",12,"Junco","Con remojo",0,0,0,13
"10",13,"Pehuajó","Con remojo",0,0,0,8
"11",16,"Totora","Con remojo",0,0,0,5
"12",17,"Totora","Con remojo",0,0,0,7
"13",20,"Pehuajó","Con remojo",0,0,0,6
"14",21,"Junco","Con remojo",0,0,0,10
"15",22,"Totora","Con remojo",0,0,0,8
"16",23,"Pehuajó","Con remojo",0,0,0,4
"17",24,"Junco","Con remojo",0,0,0,8
"18",25,"Totora","Sin remojo",0,0,0,8
"19",26,"Junco","Sin remojo",0,0,0,16
"20",27,"Pehuajó","Sin remojo",0,0,0,4
"21",29,"Junco","Sin remojo",0,0,0,6
"22",30,"Pehuajó","Sin remojo",0,0,0,4
"23",31,"Pehuajó","Sin remojo",0,0,0,8
"24",36,"Junco","Sin remojo",0,0,0,13
"25",38,"Junco","Sin remojo",0,0,0,15
"26",39,"Totora","Sin remojo",0,0,0,6
"27",40,"Junco","Sin remojo",0,0,0,12
"28",41,"Pehuajó","Sin remojo",0,0,0,5
"29",42,"Pehuajó","Sin remojo",0,0,0,6
"30",43,"Totora","Sin remojo",0,0,0,7
"31",44,"Totora","Sin remojo",0,0,0,5
"32",45,"Pehuajó","Sin remojo",0,0,0,8
"33",48,"Junco","Sin remojo",0,0,0,10
"34",49,"Junco","Con remojo",0,0,0,14
"35",50,"Pehuajó","Con remojo",0,0,0,7
"36",51,"Totora","Con remojo",0,0,0,5
"37",52,"Junco","Con remojo",0,0,0,11
"38",54,"Totora","Con remojo",0,0,0,7
"39",55,"Pehuajó","Con remojo",0,0,0,5
"40",57,"Pehuajó","Con remojo",0,0,0,5
"41",58,"Totora","Con remojo",0,0,0,4
"42",60,"Junco","Con remojo",0,0,0,15
"43",61,"Pehuajó","Con remojo",0,0,0,8
"44",64,"Totora","Con remojo",0,0,0,6
"45",65,"Totora","Con remojo",0,0,0,7
"46",68,"Pehuajó","Con remojo",0,0,0,6
"47",69,"Junco","Con remojo",0,0,0,10
"48",70,"Totora","Con remojo",0,0,0,8
"49",71,"Pehuajó","Con remojo",0,0,0,5
"50",72,"Junco","Con remojo",0,0,0,8
"51",73,"Totora","Sin remojo",0,0,0,7
"52",74,"Junco","Sin remojo",0,0,0,16
"53",75,"Pehuajó","Sin remojo",0,0,0,4
"54",77,"Junco","Sin remojo",0,0,0,6
"55",78,"Pehuajó","Sin remojo",0,0,0,5
"56",79,"Pehuajó","Sin remojo",0,0,0,8
"57",84,"Junco","Sin remojo",0,0,0,13
"58",86,"Junco","Sin remojo",0,0,0,15
"59",87,"Totora","Sin remojo",0,0,0,6
"60",88,"Junco","Sin remojo",0,0,0,12
"61",89,"Pehuajó","Sin remojo",0,0,0,6
"62",90,"Pehuajó","Sin remojo",0,0,0,7
"63",91,"Totora","Sin remojo",0,0,0,7
"64",92,"Totora","Sin remojo",0,0,0,5
"65",93,"Pehuajó","Sin remojo",0,0,0,8
"66",96,"Junco","Sin remojo",0,0,0,10
"67",1,"Junco","Con remojo",12,0,0,14
"68",2,"Pehuajó","Con remojo",12,0,0,6
"69",3,"Totora","Con remojo",12,0,0,6
"70",4,"Junco","Con remojo",12,0,0,9
"71",6,"Totora","Con remojo",12,0,0,6
"72",7,"Pehuajó","Con remojo",12,0,0,5
"73",9,"Pehuajó","Con remojo",12,0,0,4
"74",10,"Totora","Con remojo",12,0,0,3
"75",12,"Junco","Con remojo",12,0,0,13
"76",13,"Pehuajó","Con remojo",12,0,0,11
"77",16,"Totora","Con remojo",12,0,0,5
"78",17,"Totora","Con remojo",12,0,0,6
"79",20,"Pehuajó","Con remojo",12,0,0,6
"80",21,"Junco","Con remojo",12,0,0,10
"81",22,"Totora","Con remojo",12,0,0,8
"82",23,"Pehuajó","Con remojo",12,0,0,6
"83",24,"Junco","Con remojo",12,0,0,13
"84",25,"Totora","Sin remojo",12,0,0,6
"85",26,"Junco","Sin remojo",12,0,0,19
"86",27,"Pehuajó","Sin remojo",12,0,0,4
"87",29,"Junco","Sin remojo",12,0,0,8
"88",30,"Pehuajó","Sin remojo",12,0,0,5
"89",31,"Pehuajó","Sin remojo",12,0,0,10
"90",36,"Junco","Sin remojo",12,0,0,10
"91",38,"Junco","Sin remojo",12,0,0,16
"92",39,"Totora","Sin remojo",12,0,0,6
"93",40,"Junco","Sin remojo",12,0,0,17
"94",41,"Pehuajó","Sin remojo",12,0,0,6
"95",42,"Pehuajó","Sin remojo",12,0,0,9
"96",43,"Totora","Sin remojo",12,0,0,5
"97",44,"Totora","Sin remojo",12,0,0,4
"98",45,"Pehuajó","Sin remojo",12,0,0,8
"99",48,"Junco","Sin remojo",12,0,0,13
"100",49,"Junco","Con remojo",12,0,0,14
"101",50,"Pehuajó","Con remojo",12,0,0,7
"102",51,"Totora","Con remojo",12,0,0,6
"103",52,"Junco","Con remojo",12,0,0,12
"104",54,"Totora","Con remojo",12,0,0,6
"105",55,"Pehuajó","Con remojo",12,0,0,5
"106",57,"Pehuajó","Con remojo",12,1,0.8,4
"107",58,"Totora","Con remojo",12,0,0,2
