Especie	Tratamiento	Dias_desde_armado	Medias	E.E.	Grupos
Junco	"Sin remojo"	82	1.65488782051282	0.136387110844157	A
Pehuajo	"Sin remojo"	93	1.65357142857143	0.1279086872399	A
Junco	"Sin remojo"	93	1.58888888888889	0.123255533457677	A
Junco	"Con remojo"	93	1.5675333000333	0.133377809334981	A
Junco	"Sin remojo"	58	1.49385683760684	0.0906245775811214	A
Junco	"Con remojo"	58	1.4511346986347	0.0975776556435128	A
Junco	"Sin remojo"	37	1.4414797008547	0.111483042025951	A
Pehuajo	"Sin remojo"	82	1.4	0.116711122012395	A
Junco	"Con remojo"	82	1.37463203463203	0.125883505999549	A
Pehuajo	"Sin remojo"	58	1.36488095238095	0.0860291111461708	A
Junco	"Con remojo"	37	1.23701881451881	0.108870276812541	B
Junco	"Sin remojo"	12	1.20542200854701	0.0652509110943396	B
Totora	"Con remojo"	82	1.17757936507937	0.101875491040193	B
Pehuajo	"Con remojo"	93	1.17291666666667	0.0971200008270637	B
Pehuajo	"Sin remojo"	37	1.13958333333333	0.0940900415353178	B
Pehuajo	"Con remojo"	82	1.13035714285714	0.0989770190763292	B
Junco	"Con remojo"	12	1.11590909090909	0.0700377573058493	B
Pehuajo	"Sin remojo"	12	1.10714285714286	0.0638080388557127	B
Totora	"Con remojo"	93	1.09880952380952	0.0930829487483723	B
Totora	"Con remojo"	58	1.08095238095238	0.0767171355470787	B
Totora	"Sin remojo"	93	1.07008928571428	0.112142413993941	B
Pehuajo	"Con remojo"	12	1.05892857142857	0.0631118971164171	B
Pehuajo	"Con remojo"	37	1.0343253968254	0.088686981577394	B
Totora	"Sin remojo"	58	1.02113095238095	0.0917181837574111	B
Pehuajo	"Con remojo"	58	1.01478174603174	0.0746959817062782	B
Totora	"Sin remojo"	82	0.99985119047619	0.111927453799717	B
Totora	"Con remojo"	12	0.894146825396823	0.0607895293914915	C
Totora	"Sin remojo"	12	0.854464285714284	0.073782487013725	C
Totora	"Con remojo"	37	0.838095238095236	0.079428823802382	C
Totora	"Sin remojo"	37	0.831398809523808	0.0969147273691623	C
