Columna1	ID_biorollo	Especie	Tratamiento	Dias_desde_armado	POT_Dias_desde_armado	Raices_debajo	Raiz_mas_larga	N_hojas_verdes	Hetero	EspecieTratamiento	NhojasverdesInicial	Especie_Pehuajo	Especie_Totora	Especie_Pehuajo_Dias_desde_armado	Especie_Totora_Dias_desde_armado	cociente	PRED 0 cociente
"67"	1	Junco	Con remojo	12	144	0	0	14	C1	Junco"Con remojo"	14	0	0	0	0	1	1.11590909090909
"68"	2	Pehuajo	Con remojo	12	144	0	0	6	C2	Pehuajo"Con remojo"	7	1	0	12	0	0.857142857142857	1.05892857142857
"69"	3	Totora	Con remojo	12	144	0	0	6	C2	Totora"Con remojo"	7	0	1	0	12	0.857142857142857	0.894146825396825
"70"	4	Junco	Con remojo	12	144	0	0	9	C1	Junco"Con remojo"	11	0	0	0	0	0.818181818181818	1.11590909090909
"71"	6	Totora	Con remojo	12	144	0	0	6	C2	Totora"Con remojo"	6	0	1	0	12	1	0.894146825396825
"72"	7	Pehuajo	Con remojo	12	144	0	0	5	C2	Pehuajo"Con remojo"	5	1	0	12	0	1	1.05892857142857
"73"	9	Pehuajo	Con remojo	12	144	0	0	4	C2	Pehuajo"Con remojo"	5	1	0	12	0	0.8	1.05892857142857
"74"	10	Totora	Con remojo	12	144	0	0	3	C2	Totora"Con remojo"	4	0	1	0	12	0.75	0.894146825396825
"75"	12	Junco	Con remojo	12	144	0	0	13	C1	Junco"Con remojo"	13	0	0	0	0	1	1.11590909090909
"76"	13	Pehuajo	Con remojo	12	144	0	0	11	C2	Pehuajo"Con remojo"	8	1	0	12	0	1.375	1.05892857142857
"77"	16	Totora	Con remojo	12	144	0	0	5	C2	Totora"Con remojo"	5	0	1	0	12	1	0.894146825396825
"78"	17	Totora	Con remojo	12	144	0	0	6	C2	Totora"Con remojo"	7	0	1	0	12	0.857142857142857	0.894146825396825
"79"	20	Pehuajo	Con remojo	12	144	0	0	6	C2	Pehuajo"Con remojo"	6	1	0	12	0	1	1.05892857142857
"80"	21	Junco	Con remojo	12	144	0	0	10	C1	Junco"Con remojo"	10	0	0	0	0	1	1.11590909090909
"81"	22	Totora	Con remojo	12	144	0	0	8	C2	Totora"Con remojo"	8	0	1	0	12	1	0.894146825396825
"82"	23	Pehuajo	Con remojo	12	144	0	0	6	C2	Pehuajo"Con remojo"	4	1	0	12	0	1.5	1.05892857142857
"83"	24	Junco	Con remojo	12	144	0	0	13	C1	Junco"Con remojo"	8	0	0	0	0	1.625	1.11590909090909
"84"	25	Totora	Sin remojo	12	144	0	0	6	C2	Totora"Sin remojo"	8	0	1	0	12	0.75	0.854464285714285
"85"	26	Junco	Sin remojo	12	144	0	0	19	C1	Junco"Sin remojo"	16	0	0	0	0	1.1875	1.20542200854701
"86"	27	Pehuajo	Sin remojo	12	144	0	0	4	C2	Pehuajo"Sin remojo"	4	1	0	12	0	1	1.10714285714286
"87"	29	Junco	Sin remojo	12	144	0	0	8	C1	Junco"Sin remojo"	6	0	0	0	0	1.33333333333333	1.20542200854701
"88"	30	Pehuajo	Sin remojo	12	144	0	0	5	C2	Pehuajo"Sin remojo"	4	1	0	12	0	1.25	1.10714285714286
"89"	31	Pehuajo	Sin remojo	12	144	0	0	10	C2	Pehuajo"Sin remojo"	8	1	0	12	0	1.25	1.10714285714286
"90"	36	Junco	Sin remojo	12	144	0	0	10	C1	Junco"Sin remojo"	13	0	0	0	0	0.769230769230769	1.20542200854701
"91"	38	Junco	Sin remojo	12	144	0	0	16	C1	Junco"Sin remojo"	15	0	0	0	0	1.06666666666667	1.20542200854701
"92"	39	Totora	Sin remojo	12	144	0	0	6	C2	Totora"Sin remojo"	6	0	1	0	12	1	0.854464285714285
"93"	40	Junco	Sin remojo	12	144	0	0	17	C1	Junco"Sin remojo"	12	0	0	0	0	1.41666666666667	1.20542200854701
"94"	41	Pehuajo	Sin remojo	12	144	0	0	6	C2	Pehuajo"Sin remojo"	5	1	0	12	0	1.2	1.10714285714286
"95"	42	Pehuajo	Sin remojo	12	144	0	0	9	C2	Pehuajo"Sin remojo"	6	1	0	12	0	1.5	1.10714285714286
"96"	43	Totora	Sin remojo	12	144	0	0	5	C2	Totora"Sin remojo"	7	0	1	0	12	0.714285714285714	0.854464285714285
"97"	44	Totora	Sin remojo	12	144	0	0	4	C2	Totora"Sin remojo"	5	0	1	0	12	0.8	0.854464285714285
"98"	45	Pehuajo	Sin remojo	12	144	0	0	8	C2	Pehuajo"Sin remojo"	8	1	0	12	0	1	1.10714285714286
"99"	48	Junco	Sin remojo	12	144	0	0	13	C1	Junco"Sin remojo"	10	0	0	0	0	1.3	1.20542200854701
"100"	49	Junco	Con remojo	12	144	0	0	14	C1	Junco"Con remojo"	14	0	0	0	0	1	1.11590909090909
"101"	50	Pehuajo	Con remojo	12	144	0	0	7	C2	Pehuajo"Con remojo"	7	1	0	12	0	1	1.05892857142857
"102"	51	Totora	Con remojo	12	144	0	0	6	C2	Totora"Con remojo"	5	0	1	0	12	1.2	0.894146825396825
"103"	52	Junco	Con remojo	12	144	0	0	12	C1	Junco"Con remojo"	11	0	0	0	0	1.09090909090909	1.11590909090909
"104"	54	Totora	Con remojo	12	144	0	0	6	C2	Totora"Con remojo"	7	0	1	0	12	0.857142857142857	0.894146825396825
"105"	55	Pehuajo	Con remojo	12	144	0	0	5	C2	Pehuajo"Con remojo"	5	1	0	12	0	1	1.05892857142857
"106"	57	Pehuajo	Con remojo	12	144	1	0.8	4	C2	Pehuajo"Con remojo"	5	1	0	12	0	0.8	1.05892857142857
"107"	58	Totora	Con remojo	12	144	0	0	2	C2	Totora"Con remojo"	4	0	1	0	12	0.5	0.894146825396825
"108"	60	Junco	Con remojo	12	144	0	0	15	C1	Junco"Con remojo"	15	0	0	0	0	1	1.11590909090909
"109"	61	Pehuajo	Con remojo	12	144	0	0	11	C2	Pehuajo"Con remojo"	8	1	0	12	0	1.375	1.05892857142857
"110"	64	Totora	Con remojo	12	144	0	0	5	C2	Totora"Con remojo"	6	0	1	0	12	0.833333333333333	0.894146825396825
"111"	65	Totora	Con remojo	12	144	0	0	7	C2	Totora"Con remojo"	7	0	1	0	12	1	0.894146825396825
"112"	68	Pehuajo	Con remojo	12	144	0	0	6	C2	Pehuajo"Con remojo"	6	1	0	12	0	1	1.05892857142857
"113"	69	Junco	Con remojo	12	144	0	0	10	C1	Junco"Con remojo"	10	0	0	0	0	1	1.11590909090909
"114"	70	Totora	Con remojo	12	144	0	0	7	C2	Totora"Con remojo"	8	0	1	0	12	0.875	0.894146825396825
"115"	71	Pehuajo	Con remojo	12	144	0	0	5	C2	Pehuajo"Con remojo"	5	1	0	12	0	1	1.05892857142857
"116"	72	Junco	Con remojo	12	144	0	0	13	C1	Junco"Con remojo"	8	0	0	0	0	1.625	1.11590909090909
"117"	73	Totora	Sin remojo	12	144	0	0	6	C2	Totora"Sin remojo"	7	0	1	0	12	0.857142857142857	0.854464285714285
"118"	74	Junco	Sin remojo	12	144	0	0	18	C1	Junco"Sin remojo"	16	0	0	0	0	1.125	1.20542200854701
"119"	75	Pehuajo	Sin remojo	12	144	0	0	4	C2	Pehuajo"Sin remojo"	4	1	0	12	0	1	1.10714285714286
"120"	77	Junco	Sin remojo	12	144	0	0	8	C1	Junco"Sin remojo"	6	0	0	0	0	1.33333333333333	1.20542200854701
